24-01-2021 02:00:53.430 [main] INFO  SpringBootTestContextBootstrapper Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests], using SpringBootContextLoader
24-01-2021 02:00:53.437 [main] INFO  AbstractContextLoader Could not detect default resource locations for test class [com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
24-01-2021 02:00:53.437 [main] INFO  AnnotationConfigContextLoaderUtils Could not detect default configuration classes for test class [com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests]: AlboComicsSchedulerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
24-01-2021 02:00:53.509 [main] INFO  SpringBootTestContextBootstrapper Found @SpringBootConfiguration com.albo.comics.scheduler.AlboComicsSchedulerApplication for test class com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests
24-01-2021 02:00:53.577 [main] INFO  SpringBootTestContextBootstrapper Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
24-01-2021 02:00:53.588 [main] INFO  SpringBootTestContextBootstrapper Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5241cf67, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@716a7124, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@77192705, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@226642a5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7e809b79, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5cc126dc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@625e134e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@72bd06ca, org.springframework.test.context.event.EventPublishingTestExecutionListener@89c10b7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5dbe30be, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4fe89c24, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@55795845, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3d08f3f5, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@119f1f2a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1a1da881]
24-01-2021 02:00:53.806 [main] INFO  AlboComicsSchedulerApplicationTests Starting AlboComicsSchedulerApplicationTests using Java 11.0.9.1 on MSI with PID 10892 (started by Ing_O in C:\Users\Ing_O\eclipse-workspace\comics\alboComicsScheduler)
24-01-2021 02:00:53.808 [main] INFO  AlboComicsSchedulerApplicationTests No active profile set, falling back to default profiles: default
24-01-2021 02:00:54.234 [main] INFO  RepositoryConfigurationDelegate Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
24-01-2021 02:00:54.276 [main] INFO  RepositoryConfigurationDelegate Finished Spring Data repository scanning in 39 ms. Found 1 MongoDB repository interfaces.
24-01-2021 02:00:54.831 [main] INFO  cluster Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.zccxh.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-s3nd0f-shard-0'}
24-01-2021 02:00:54.889 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-srv-cluster0.zccxh.mongodb.net] INFO  cluster Adding discovered server cluster0-shard-00-02.zccxh.mongodb.net:27017 to client view of cluster
24-01-2021 02:00:54.915 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-srv-cluster0.zccxh.mongodb.net] INFO  cluster Adding discovered server cluster0-shard-00-01.zccxh.mongodb.net:27017 to client view of cluster
24-01-2021 02:00:54.915 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-srv-cluster0.zccxh.mongodb.net] INFO  cluster Adding discovered server cluster0-shard-00-00.zccxh.mongodb.net:27017 to client view of cluster
24-01-2021 02:00:55.074 [main] INFO  ScheduledTask Starting insert data comics job...
24-01-2021 02:00:55.514 [cluster-rtt-ClusterId{value='600d29367357141cfb2a0889', description='null'}-cluster0-shard-00-00.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:6, serverValue:185026}] to cluster0-shard-00-00.zccxh.mongodb.net:27017
24-01-2021 02:00:55.514 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-cluster0-shard-00-00.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:5, serverValue:185026}] to cluster0-shard-00-00.zccxh.mongodb.net:27017
24-01-2021 02:00:55.514 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-cluster0-shard-00-01.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:2, serverValue:224799}] to cluster0-shard-00-01.zccxh.mongodb.net:27017
